"","instnm","Average.net.price.students.awarded.grant.or.scholarship.aid..2018.19..SFA1819.","Average.net.price..income.0.30.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.30.001.48.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.48.001.75.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.75.001.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Average.net.price..income.over.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819.","Percent.of.full.time.first.time.undergraduates.awarded.any.financial.aid..SFA1819.","Percent.of.full.time.first.time.undergraduates.awarded.federal..state..local.or.institutional.grant.aid..SFA1819.","Average.net.price..income.30.001.48.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.75.001.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.48.001.75.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.0.30.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Average.net.price..income.over.110.000..students.awarded.Title.IV.federal.financial.aid..2018.19..SFA1819..1","Total.number.of.undergraduates...financial.aid.cohort..SFA1819.","Percent.of.undergraduate.students.awarded.federal..state..local..institutional.or.other.sources.of.grant.aid..SFA1819.","State.abbreviation..HD2019.","FIPS.state.code..HD2019.","Bureau.of.Economic.Analysis..BEA..regions..HD2019.","Total.price.for.in.state.students.living.on.campus.2019.20..DRVIC2019.","Total.price.for.out.of.state.students.living.on.campus.2019.20..DRVIC2019.","SAT.Evidence.Based.Reading.and.Writing.25th.percentile.score..ADM2019.","SAT.Evidence.Based.Reading.and.Writing.75th.percentile.score..ADM2019.","SAT.Math.25th.percentile.score..ADM2019.","SAT.Math.75th.percentile.score..ADM2019.","ACT.Composite.75th.percentile.score..ADM2019.","ACT.Composite.25th.percentile.score..ADM2019.","Percent.admitted...total..DRVADM2019.","Percent.admitted...total..DRVADM2018_RV.","Student.to.faculty.ratio..EF2018D_RV.","Percent.admitted...total..DRVADM2017_RV.","Percent.admitted...total..DRVADM2016_RV.","Percent.admitted...total..DRVADM2015_RV.","Percent.admitted...total..DRVADM2014_RV.","Percent.admitted...total..DRVIC2013_RV.","Percent.admitted...total..DRVIC2012_RV.","X"
"1","American University",40469,28432,22578,33158,37117,54404,75,59,NA,NA,NA,NA,NA,8285,53,"DC",11,2,67694,67694,620,700,590,690,31,27,36,32,12,29,26,35,46,43,44,NA
"2","Amherst College",16339,6079,4423,8219,24193,45700,68,62,NA,NA,NA,NA,NA,1855,60,"MA",25,1,76750,76750,650,740,660,780,34,30,11,13,7,13,14,14,14,14,13,NA
"3","Babson College",28325,16734,17996,19534,31734,48869,51,44,NA,NA,NA,NA,NA,2361,46,"MA",25,1,72378,72378,620,690,650,760,32,27,26,24,14,24,25,26,26,28,29,NA
"4","Barnard College",26649,12377,9884,16751,17830,49523,51,44,NA,NA,NA,NA,NA,2635,44,"NY",36,2,78044,78044,670,750,670,770,34,31,12,14,9,15,17,20,24,21,23,NA
"5","Baylor University",38372,26726,29849,31343,35300,42722,95,93,NA,NA,NA,NA,NA,14188,91,"TX",48,6,64880,64880,600,680,600,700,32,26,45,39,14,39,40,44,55,57,61,NA
"6","Bentley University",41582,25432,22405,29604,34455,47353,83,77,NA,NA,NA,NA,NA,4253,68,"MA",25,1,71320,71320,600,680,630,730,31,27,47,43,11,44,46,42,46,44,45,NA
"7","Binghamton University",NA,NA,NA,NA,NA,NA,75,58,15226,20907,20062,12686,25490,14021,55,"NY",36,2,28269,45859,630,700,650,740,32,29,41,40,19,40,41,42,44,43,41,NA
"8","Boston College",28354,6353,8951,17113,22285,49115,56,44,NA,NA,NA,NA,NA,9783,48,"MA",25,1,75886,75886,660,730,680,770,34,31,27,28,13,32,31,29,34,32,29,NA
"9","Boston University",29479,12903,13256,20231,31075,48048,55,49,NA,NA,NA,NA,NA,18515,49,"MA",25,1,75002,75002,650,720,690,790,34,30,19,22,10,25,29,33,35,46,49,NA
"10","Brandeis University",37264,13567,16074,20122,29713,49781,69,65,NA,NA,NA,NA,NA,3639,60,"MA",25,1,76141,76141,660,730,690,790,33,30,30,31,10,34,33,34,35,37,39,NA
"11","Brigham Young University-Provo",13340,8834,10425,12466,15362,17782,71,51,NA,NA,NA,NA,NA,31441,74,"UT",49,7,19236,19236,610,710,600,710,31,26,67,64,20,52,51,48,47,49,55,NA
"12","Brown University",27218,201,6684,11689,21634,43592,56,44,NA,NA,NA,NA,NA,7043,46,"RI",44,1,77490,77490,700,770,740,800,35,33,7,8,6,8,9,9,9,9,10,NA
"13","Bucknell University",39493,22342,20566,30416,32203,55270,59,52,NA,NA,NA,NA,NA,3597,53,"PA",42,2,75400,75400,620,700,635,730,32,28,34,33,9,31,30,25,31,30,27,NA
"14","California Institute of Technology",27438,5456,3756,8042,12788,48851,71,55,NA,NA,NA,NA,NA,948,60,"CA",6,8,74763,74763,740,760,790,800,36,35,6,7,3,8,8,9,9,11,13,NA
"15","California Polytechnic State University-San Luis Obispo",NA,NA,NA,NA,NA,NA,63,51,14680,22585,19407,12475,27103,21098,53,"CA",6,8,28927,42817,620,700,620,740,32,26,28,30,21,35,29,31,31,31,37,NA
"16","Carleton College",31547,9579,9358,16716,23290,43700,78,57,NA,NA,NA,NA,NA,2097,61,"MN",27,4,74275,74275,670,750,690,790,34,31,19,20,9,21,23,21,23,21,26,NA
"17","Carnegie Mellon University",30618,12542,13782,18276,30722,52585,58,47,NA,NA,NA,NA,NA,6589,51,"PA",42,2,74491,74491,700,760,760,800,35,33,15,17,10,22,22,24,25,25,28,NA
"18","Case Western Reserve University",35890,18708,19034,22236,29607,41895,89,85,NA,NA,NA,NA,NA,5261,81,"OH",39,3,69638,69638,640,720,700,790,34,30,27,29,11,33,35,36,38,42,54,NA
"19","Claremont McKenna College",24456,8566,6591,19009,17636,45035,52,45,NA,NA,NA,NA,NA,1324,46,"CA",6,8,76475,76475,670,730,690,780,34,31,10,9,8,10,9,11,11,12,14,NA
"20","Clemson University",NA,NA,NA,NA,NA,NA,92,88,14413,22937,18971,13698,23933,20160,74,"SC",45,5,32462,55454,620,690,610,710,32,27,51,47,16,47,51,51,52,58,63,NA
"21","Colby College",19592,2335,3467,5107,13413,38621,44,44,NA,NA,NA,NA,NA,2000,50,"ME",23,1,73600,73600,680,740,700,780,34,31,10,13,10,16,19,23,28,26,29,NA
"22","Colgate University",23503,9752,8958,16525,24299,44076,51,42,NA,NA,NA,NA,NA,2958,48,"NY",36,2,75015,75015,660,730,670,770,34,31,23,25,9,28,29,27,26,26,29,NA
"23","College of the Holy Cross",34627,15036,19031,22581,27807,48257,75,65,NA,NA,NA,NA,NA,2939,62,"MA",25,1,71710,71710,630,700,630,730,32,28,34,38,10,40,38,37,43,33,34,NA
"24","Colorado School of Mines",NA,NA,NA,NA,NA,NA,88,81,17832,30771,21449,17276,32024,4952,75,"CO",8,7,36652,57352,620,710,540,750,33,27,53,49,15,56,40,38,36,37,45,NA
"25","Columbia University in the City of New York",21828,8916,4287,5887,18637,42199,59,53,NA,NA,NA,NA,NA,8216,62,"NY",36,2,79752,79752,700,770,740,800,35,33,5,6,6,6,7,7,7,7,7,NA
"26","Connecticut College",40707,18732,13877,21075,29738,46140,94,94,NA,NA,NA,NA,NA,1844,73,"CT",9,1,74590,74590,650,710,660,740,33,30,37,38,9,38,35,40,38,36,34,NA
"27","Cooper Union for the Advancement of Science and Art",28366,8481,7519,12314,14853,29592,100,100,NA,NA,NA,NA,NA,855,100,"NY",36,2,66713,66713,650,740,655,790,35,30,15,16,6,13,NA,NA,15,8,8,NA
"28","Cornell University",28921,7484,7518,11869,23128,55817,62,48,NA,NA,NA,NA,NA,15182,47,"NY",36,2,76258,76258,680,760,720,800,35,32,11,11,9,13,14,15,14,16,17,NA
"29","Dartmouth College",23869,12052,4830,9044,14238,51782,62,47,NA,NA,NA,NA,NA,4417,53,"NH",33,1,77152,77152,710,770,730,790,35,32,8,9,7,10,11,11,12,10,10,NA
"30","Davidson College",27714,6645,5662,11493,19070,38975,72,68,NA,NA,NA,NA,NA,1843,75,"NC",37,5,70744,70744,650,730,660,755,33,30,18,19,9,20,20,22,22,26,25,NA
"31","Denison University",36650,18990,13909,22652,26544,39782,97,96,NA,NA,NA,NA,NA,2394,96,"OH",39,3,69400,69400,590,680,610,730,31,27,29,34,9,37,44,48,56,46,50,NA
"32","Duke University",24386,-7808,-1314,4150,18375,48680,63,49,NA,NA,NA,NA,NA,6682,58,"NC",37,5,77029,77029,720,770,760,800,35,33,8,9,6,10,11,11,11,13,14,NA
"33","Emerson College",46381,39241,39843,41701,42458,50220,80,76,NA,NA,NA,NA,NA,3855,66,"MA",25,1,72222,72222,610,700,590,710,31,27,33,36,15,46,48,49,49,48,48,NA
"34","Emory University",25942,11468,9629,19672,24657,43267,61,57,NA,NA,NA,NA,NA,7086,59,"GA",13,5,72604,72604,670,740,690,790,34,31,16,19,9,22,25,24,27,26,27,NA
"35","Florida State University",NA,NA,NA,NA,NA,NA,97,96,6816,15074,10583,5360,16000,32472,96,"FL",12,5,22446,35576,610,670,590,670,30,26,36,37,21,49,58,56,55,57,54,NA
"36","Fordham University",39558,23727,25520,33129,37527,43314,90,90,NA,NA,NA,NA,NA,9645,81,"NY",36,2,76891,76891,620,710,620,740,32,28,46,46,15,46,45,48,48,47,43,NA
"37","Franklin W Olin College of Engineering",35310,845,3388,5574,13820,41194,100,100,NA,NA,NA,NA,NA,390,87,"MA",25,1,74286,74286,700,760,760,800,35,34,16,16,7,13,10,11,12,17,19,NA
"38","George Washington University",38829,17614,17924,22287,29282,46572,77,75,NA,NA,NA,NA,NA,12546,66,"DC",11,2,74160,74160,630,720,650,750,33,30,41,42,13,41,40,46,44,33,33,NA
"39","Georgetown University",28442,5248,8678,13933,23835,47674,55,45,NA,NA,NA,NA,NA,7459,42,"DC",11,2,76280,76280,690,760,690,790,35,31,14,15,11,16,17,17,17,17,18,NA
"40","Georgia Institute of Technology-Main Campus",NA,NA,NA,NA,NA,NA,69,66,11454,17846,15213,9162,18182,16049,67,"GA",13,5,29632,50744,630,730,670,780,34,29,21,22,18,23,26,32,33,55,51,NA
"41","Grinnell College",29404,11945,14818,12486,22085,35934,89,87,NA,NA,NA,NA,NA,1716,86,"IA",19,4,70746,70746,670,740,700,790,34,31,23,24,9,29,20,25,28,35,36,NA
"42","Hamilton College",29117,7942,11385,17205,24058,41786,64,62,NA,NA,NA,NA,NA,2005,57,"NY",36,2,72390,72390,670,740,700,780,34,32,16,21,9,24,26,25,26,27,27,NA
"43","Harvard University",18030,2973,1010,3411,15553,46160,73,57,NA,NA,NA,NA,NA,9950,44,"MA",25,1,73800,73800,710,770,750,800,35,33,5,5,7,5,5,6,6,6,6,NA
"44","Harvey Mudd College",39411,16494,23234,14210,24798,50809,75,70,NA,NA,NA,NA,NA,902,68,"CA",6,8,79539,79539,710,770,780,800,35,33,14,14,8,15,13,13,14,18,19,NA
"45","Haverford College",22837,6582,6498,8516,17032,46769,52,47,NA,NA,NA,NA,NA,1310,48,"PA",42,2,76384,76384,680,750,700,790,34,32,16,19,8,20,21,25,25,23,23,NA
"46","Hobart William Smith Colleges",37761,13283,21255,26135,32468,41657,98,98,NA,NA,NA,NA,NA,2229,93,"NY",36,2,74375,74375,590,675,590,690,30,26,66,57,10,64,58,56,48,49,53,NA
"47","Illinois Institute of Technology",26708,17222,18720,22542,24888,28677,100,100,NA,NA,NA,NA,NA,3026,93,"IL",17,3,68262,68262,570,670,620,730,32,26,60,58,12,54,57,53,51,57,54,NA
"48","Johns Hopkins University",28999,3526,8210,9049,19177,43513,67,60,NA,NA,NA,NA,NA,6064,56,"MD",24,2,74028,74028,710,760,750,800,35,33,11,11,7,13,13,14,16,18,18,NA
"49","Kenyon College",37940,12582,8105,13076,25672,45570,73,70,NA,NA,NA,NA,NA,1730,63,"OH",39,3,74550,74550,640,720,630,740,33,29,34,36,10,34,27,26,25,38,36,NA
"50","Lafayette College",26810,6934,11360,17121,26450,48047,57,49,NA,NA,NA,NA,NA,2642,52,"PA",42,2,74016,74016,620,700,630,740,33,28,31,29,10,31,28,30,30,34,34,NA
"51","Lehigh University",26631,14080,13363,19924,26906,45789,69,51,NA,NA,NA,NA,NA,5047,51,"PA",42,2,71465,71465,620,690,660,760,33,29,32,22,9,25,26,30,34,31,33,NA
"52","Loyola Marymount University",47292,32367,35166,34284,40964,49269,93,90,NA,NA,NA,NA,NA,6700,78,"CA",6,8,70446,70446,620,700,610,710,31,27,44,47,10,52,54,51,53,54,50,NA
"53","Macalester College",31458,10158,14047,20102,26382,44320,83,78,NA,NA,NA,NA,NA,2174,81,"MN",27,4,71053,71053,660,740,660,770,33,29,32,41,10,41,37,39,36,34,37,NA
"54","Massachusetts Institute of Technology",20465,4535,1820,6049,14381,38934,74,60,NA,NA,NA,NA,NA,4602,65,"MA",25,1,73160,73160,730,770,780,800,36,34,7,7,3,7,8,8,8,8,9,NA
"55","Middlebury College",23367,6161,8616,14002,20468,40687,53,50,NA,NA,NA,NA,NA,2564,46,"VT",50,1,74248,74248,670,750,690,780,34,32,15,17,8,17,16,17,17,17,18,NA
"56","Muhlenberg College",33603,14567,16160,24785,28153,33994,95,94,NA,NA,NA,NA,NA,2340,88,"PA",42,2,69816,69816,580,680,570,660,31,26,66,62,10,48,48,48,53,46,46,NA
"57","New York University",37739,25937,25771,32733,41038,55206,52,46,NA,NA,NA,NA,NA,26733,47,"NY",36,2,75502,75502,660,740,690,790,34,30,16,20,9,28,32,32,35,32,35,NA
